,Goals,Shots,G/Sh,Assists,PasCmp,Touches,DriPast,CarTotDist,Crs,GCA,TklWon,Press,Clr,Int,Blocks,Fls,AerWon
0,0.0,0.41,0.0,0.06,34.0,58.0,1.09,199.4,1.41,0.16,1.16,13.6,2.19,1.75,2.69,0.97,0.47
1,0.06,0.54,0.11,0.0,38.7,57.3,0.48,204.7,0.06,0.03,1.39,13.6,3.2,3.11,1.87,1.3,2.02
6,0.0,0.32,0.0,0.0,31.3,46.8,0.0,129.5,0.0,0.16,0.97,5.65,6.29,1.77,2.1,0.81,1.94
7,0.14,0.57,0.25,0.0,64.3,80.2,0.11,284.8,0.04,0.07,0.43,5.85,4.08,1.7,1.7,0.71,2.84
8,0.04,0.68,0.06,0.12,62.3,88.0,1.91,292.9,4.94,0.12,1.55,11.7,1.2,1.24,1.43,1.63,1.31
12,0.0,0.28,0.0,0.06,31.3,54.2,0.78,102.2,2.17,0.11,1.28,12.8,2.44,1.39,1.83,1.67,1.89
14,0.07,0.82,0.08,0.07,64.3,81.2,0.16,279.3,0.07,0.13,0.39,6.25,5.0,1.78,0.99,0.59,3.55
15,0.0,0.42,0.0,0.08,60.4,84.3,0.5,232.9,2.18,0.13,2.14,17.5,2.94,2.48,1.64,1.34,1.64
16,0.0,0.47,0.0,0.07,51.3,67.8,0.2,275.8,0.47,0.07,1.47,9.93,3.07,2.27,1.27,1.4,1.67
18,0.0,0.2,0.0,0.0,43.1,62.0,0.27,240.8,0.07,0.07,1.4,10.9,4.44,1.88,1.67,0.38,2.63
19,0.0,0.63,0.0,0.0,34.1,61.0,1.06,190.8,1.88,0.0,0.94,10.5,2.06,2.06,1.56,1.25,1.13
20,0.05,0.64,0.08,0.1,37.1,63.1,2.17,182.5,2.76,0.3,2.12,19.8,1.58,1.87,1.67,0.99,0.99
21,0.05,0.32,0.14,0.14,28.3,49.9,0.5,152.5,0.54,0.27,0.99,9.28,3.65,2.21,1.62,0.81,2.84
23,0.04,0.56,0.07,0.0,71.8,87.6,0.28,355.1,0.08,0.0,1.43,9.8,2.91,1.87,1.51,0.92,2.55
24,0.0,0.49,0.0,0.0,30.7,53.2,0.68,156.6,1.56,0.05,1.66,14.2,2.54,3.22,1.71,1.27,2.1
25,0.19,0.49,0.4,0.0,75.7,90.9,0.0,345.6,0.0,0.0,0.49,6.8,3.01,1.75,1.17,0.78,3.98
28,0.12,0.71,0.17,0.12,42.4,67.2,1.12,180.6,1.71,0.24,1.18,14.9,1.88,2.06,3.29,1.76,1.35
29,0.07,0.71,0.1,0.1,61.4,73.8,0.17,331.9,1.09,0.27,0.61,7.59,2.28,1.39,1.26,0.61,0.78
32,0.07,1.05,0.06,0.34,79.5,102.6,0.27,225.4,3.54,0.44,0.85,11.0,1.29,1.63,1.9,0.95,0.61
34,0.0,0.22,0.0,0.0,48.8,64.9,0.18,268.6,0.0,0.07,0.55,6.13,5.22,1.35,1.39,0.73,1.93
38,0.07,0.64,0.12,0.0,21.6,48.5,0.45,149.4,0.07,0.07,1.69,9.25,6.93,2.62,1.35,1.84,3.56
40,0.06,1.61,0.04,0.38,63.5,94.9,0.82,190.7,4.01,0.54,0.76,9.09,1.36,2.4,1.23,0.5,0.57
45,0.17,1.78,0.09,0.17,47.0,74.1,0.83,204.0,2.66,0.37,1.16,12.4,2.28,2.74,1.62,1.37,2.45
46,0.06,1.1,0.06,0.0,34.5,61.7,0.37,148.8,0.92,0.0,1.72,10.2,4.6,2.7,1.6,2.52,2.76
47,0.0,0.39,0.0,0.0,39.9,58.9,0.24,217.7,0.1,0.05,0.92,6.62,4.98,2.61,1.35,1.21,3.38
48,0.08,0.41,0.2,0.25,75.3,96.4,1.15,287.8,3.03,0.33,1.56,13.8,0.57,1.97,1.48,2.38,0.66
50,0.0,0.08,0.0,0.0,57.3,72.1,0.25,218.9,0.0,0.04,0.51,7.29,4.66,1.27,2.03,0.72,1.91
51,0.0,0.0,0.0,0.0,58.3,81.3,1.74,234.1,1.52,0.22,1.09,11.3,1.74,2.83,2.83,0.43,2.17
52,0.03,0.88,0.04,0.03,30.6,49.4,0.71,117.7,0.54,0.03,1.33,15.1,2.45,1.63,2.31,1.33,1.46
54,0.0,0.25,0.0,0.09,56.0,77.4,0.19,276.6,0.43,0.15,0.71,4.85,4.81,1.85,1.27,0.59,2.59
57,0.0,0.6,0.0,0.0,30.4,57.6,0.78,160.1,0.95,0.09,1.72,15.5,4.57,2.24,1.9,1.21,2.67
58,0.0,0.0,0.0,0.0,33.6,54.1,0.77,187.2,1.03,0.0,1.79,16.9,1.79,1.54,2.05,0.77,0.26
61,0.08,0.92,0.09,0.08,49.9,75.7,1.17,229.5,2.67,0.17,2.0,9.75,1.83,1.5,1.33,0.75,1.33
62,0.08,0.59,0.13,0.2,42.9,68.4,0.51,147.7,5.02,0.39,0.71,10.3,1.96,1.37,1.8,0.67,0.82
63,0.0,0.91,0.0,0.39,38.1,64.4,0.91,239.5,4.55,0.65,1.17,11.3,1.3,0.65,1.69,1.69,0.65
65,0.07,0.8,0.09,0.03,53.5,75.1,0.59,303.0,0.42,0.07,1.15,11.4,5.52,2.29,1.77,1.08,3.06
67,0.0,0.09,0.0,0.0,33.3,53.8,0.6,147.3,1.16,0.0,1.55,16.2,3.13,2.02,1.85,1.72,1.55
70,0.0,0.27,0.0,0.0,45.7,61.1,0.21,282.3,0.1,0.07,0.58,6.6,5.02,1.82,1.03,0.69,2.41
71,0.16,0.75,0.21,0.0,58.9,74.2,0.24,303.7,0.2,0.0,1.31,8.77,3.1,1.47,1.98,0.95,2.86
72,0.2,0.61,0.33,0.0,33.5,55.7,0.61,125.7,2.65,0.0,1.22,15.5,2.04,0.82,2.24,1.22,1.63
83,0.0,0.88,0.0,0.29,45.7,68.2,0.74,188.1,2.21,0.29,1.47,14.3,2.06,2.06,2.5,1.91,1.47
84,0.0,0.34,0.0,0.0,33.0,55.9,0.46,158.7,1.84,0.11,0.92,17.5,1.03,2.99,2.07,1.49,0.69
85,0.16,1.1,0.14,0.08,44.0,71.7,1.34,262.7,3.78,0.24,1.65,12.4,1.81,3.15,1.65,1.42,2.2
88,0.04,0.26,0.14,0.04,39.9,60.9,0.9,195.2,2.29,0.08,0.9,9.59,2.14,1.73,1.77,0.56,1.54
89,0.0,0.45,0.0,0.11,51.4,73.3,0.11,180.9,2.39,0.11,1.48,13.0,3.18,1.02,2.16,1.82,2.05
90,0.0,0.98,0.0,0.09,56.0,77.6,1.16,179.5,1.96,0.09,1.25,12.2,1.61,1.96,1.96,1.43,2.23
93,0.07,0.33,0.2,0.0,52.5,66.4,0.13,273.7,0.07,0.0,0.6,8.27,3.8,1.6,1.53,0.87,2.27
94,0.08,0.75,0.11,0.08,48.3,73.8,1.07,258.3,0.99,0.12,1.79,15.6,2.7,2.14,1.94,1.11,1.94
95,0.0,0.7,0.0,0.0,25.1,41.4,0.23,136.0,0.0,0.0,1.4,15.6,2.56,0.47,1.16,2.79,1.86
96,0.04,0.57,0.08,0.09,62.7,85.1,0.65,222.2,1.61,0.35,1.35,15.5,3.09,1.61,2.7,1.26,2.26
99,0.0,0.64,0.0,0.09,59.8,76.1,0.18,363.0,0.18,0.09,0.28,4.59,5.96,1.93,1.83,0.64,2.94
101,0.05,0.69,0.07,0.0,59.1,75.9,0.2,209.8,0.05,0.0,1.37,8.38,3.77,2.79,1.62,1.32,3.53
104,0.0,0.0,0.0,0.0,27.4,57.1,0.88,183.5,0.0,0.0,2.94,17.4,4.71,4.12,2.35,2.06,0.88
106,0.0,0.45,0.0,0.2,50.0,72.5,1.49,202.2,1.88,0.25,1.24,11.6,2.18,2.57,1.88,0.79,0.94
107,0.0,0.27,0.0,0.0,34.0,54.8,0.4,112.8,1.6,0.04,1.6,12.0,3.07,2.31,2.44,1.16,1.6
108,0.0,0.19,0.0,0.0,70.5,86.5,0.75,313.6,0.0,0.0,0.75,8.77,3.3,3.11,1.79,0.85,2.08
109,0.03,0.43,0.07,0.06,39.2,61.0,0.86,155.9,2.4,0.14,0.43,9.03,2.14,1.63,1.4,1.43,1.06
110,0.0,0.6,0.0,0.0,46.2,68.4,1.2,282.4,3.2,0.2,2.4,18.6,0.8,0.8,2.4,2.6,1.4
111,0.0,0.2,0.0,0.0,29.0,47.5,0.2,106.7,1.37,0.0,0.0,10.4,1.57,2.35,1.96,0.98,1.37
114,0.0,0.67,0.0,0.0,25.0,47.3,0.07,101.7,0.0,0.0,0.81,10.9,5.93,2.74,1.78,0.96,4.89
116,0.07,0.17,0.4,0.07,52.7,75.2,0.94,240.6,2.5,0.21,1.6,11.7,2.26,2.67,2.26,0.83,1.28
120,0.0,0.09,0.0,0.0,37.8,57.0,0.09,88.9,1.5,0.18,0.88,8.14,2.74,1.77,1.95,1.86,0.8
122,0.11,0.44,0.25,0.0,31.1,52.8,0.88,119.3,1.49,0.06,0.88,10.9,2.6,1.55,2.04,0.72,1.1
123,0.05,0.68,0.07,0.0,41.6,62.4,0.32,188.9,0.0,0.0,0.9,9.14,5.52,1.95,2.26,1.0,3.57
125,0.04,0.35,0.11,0.08,62.3,79.2,0.43,253.3,0.82,0.16,1.36,11.4,2.76,1.48,1.56,1.4,2.41
127,0.0,0.32,0.0,0.0,38.4,57.9,0.0,153.5,0.0,0.0,1.33,12.3,5.96,2.45,1.65,1.6,3.46
128,0.04,0.54,0.08,0.08,38.9,59.5,0.17,171.4,0.5,0.08,1.54,15.7,3.4,1.83,1.87,1.24,3.44
130,0.06,0.55,0.11,0.03,32.0,49.9,0.14,126.4,0.34,0.03,2.07,13.2,3.02,1.7,1.52,1.95,2.1
