,Goals,Shots,G/Sh,Assists,PasCmp,Touches,DriPast,CarTotDist,Crs,GCA,TklWon,Press,Clr,Int,Blocks,Fls,AerWon
2,0.04,0.66,0.06,0.0,55.9,70.4,1.09,246.5,0.36,0.04,1.24,23.4,0.55,1.86,0.99,1.64,0.88
3,0.0,0.91,0.0,0.06,40.7,61.6,1.34,171.9,0.79,0.15,2.23,28.0,0.34,2.56,1.68,1.4,0.43
10,0.0,0.13,0.0,0.07,52.8,71.0,0.67,229.6,0.2,0.27,1.07,21.7,1.33,1.53,2.13,1.33,1.53
11,0.0,0.41,0.0,0.0,44.1,57.6,0.2,150.0,0.41,0.0,1.63,26.1,0.61,1.02,1.02,2.86,1.22
13,0.0,0.77,0.0,0.0,39.8,57.6,1.01,173.7,0.19,0.05,2.02,18.3,1.54,2.69,1.83,1.68,1.49
17,0.09,1.52,0.06,0.09,31.1,48.2,1.25,152.3,0.36,0.27,0.89,17.8,0.98,2.05,0.71,2.05,1.25
26,0.0,0.35,0.0,0.0,50.4,66.7,1.05,166.7,0.0,0.0,2.11,19.8,1.58,2.11,1.23,2.46,1.58
27,0.0,0.86,0.0,0.0,26.3,48.3,2.29,140.0,0.0,0.0,2.57,30.0,1.14,0.86,1.14,4.0,2.0
30,0.0,0.95,0.0,0.06,26.2,48.4,0.32,97.3,1.46,0.19,0.95,16.5,2.85,1.71,2.03,1.65,1.39
33,0.19,1.8,0.11,0.34,63.0,83.9,1.03,315.4,1.92,0.61,0.69,15.8,0.23,0.84,1.11,0.65,0.42
36,0.06,1.47,0.04,0.24,77.9,98.0,0.88,325.9,0.12,0.35,2.35,18.8,1.06,2.06,1.53,1.47,2.18
37,0.16,1.87,0.09,0.0,44.8,66.1,0.49,248.6,0.98,0.0,2.44,24.5,1.22,1.22,1.22,2.93,2.36
39,0.04,1.82,0.02,0.08,26.7,43.0,0.7,145.9,0.85,0.16,0.85,21.4,0.39,0.74,1.05,2.21,0.54
42,0.0,0.29,0.0,0.08,31.2,50.8,0.66,158.0,0.25,0.25,2.51,26.7,1.65,1.73,1.89,1.6,0.49
44,0.0,0.79,0.0,0.0,30.0,61.1,1.05,173.4,1.05,0.26,2.63,33.4,1.84,2.63,2.37,2.89,2.11
49,0.0,0.22,0.0,0.0,46.0,63.8,1.11,168.7,0.44,0.22,1.78,17.6,2.22,3.11,1.11,1.33,1.56
53,0.1,0.38,0.25,0.0,61.1,76.6,0.86,283.1,0.29,0.0,2.1,24.2,0.67,0.95,2.57,2.76,0.95
59,0.07,0.59,0.11,0.03,46.7,70.8,0.52,204.7,0.56,0.13,2.55,22.4,2.06,2.48,2.52,2.45,3.86
60,0.2,1.49,0.13,0.1,41.2,60.7,0.5,172.8,0.25,0.25,1.63,17.7,2.43,2.28,1.63,2.08,2.08
68,0.0,1.25,0.0,0.17,32.0,53.5,1.32,168.5,0.84,0.37,1.25,21.5,0.81,1.59,1.82,2.4,1.05
69,0.06,0.63,0.09,0.23,52.1,72.3,0.63,160.1,0.46,0.34,1.89,25.3,1.09,2.4,1.94,1.71,0.74
74,0.12,2.32,0.05,0.0,35.5,57.2,1.71,278.3,1.95,0.12,0.91,16.2,0.91,0.85,1.04,0.67,0.3
